"","UF","Capital","area","tipoArea","peso","idad","sexo","raca","nvlMaisElevado","anosEst","posTrab","posOcup","rendOcup","grupPosOcup","ocup","classeOcup1","classeOcup2","ln_rendOcup"
"126",11,11,1,1,140.51091648,47,"F","Parda ",2,6,1,1,1200,4,9111,11,9,7.09007683577609
"127",11,11,1,1,140.51091648,20,"F","Parda ",6,13,1,1,1500,1,4110,4,4,7.3132203870903
"128",11,11,1,1,140.51091648,18,"F","Parda ",5,12,1,1,1000,3,5311,11,5,6.90775527898214
"132",11,11,1,1,139.4586442,30,"M","Parda ",5,12,1,1,1200,1,9112,4,9,7.09007683577609
"133",11,11,1,1,139.4586442,61,"M","Parda ",5,12,1,1,5000,7,4110,8,4,8.51719319141624
"134",11,11,1,1,139.4586442,51,"F","Parda ",4,11,1,1,1200,4,5311,11,5,7.09007683577609
"136",11,11,1,1,113.94491195,18,"M","Branca",5,12,1,1,1000,9,5141,10,5,6.90775527898214
"138",11,11,1,1,154.0480164,33,"M","Parda ",4,11,1,1,3000,9,5243,6,5,8.00636756765025
"139",11,11,1,1,154.0480164,47,"F","Parda ",7,16,1,1,2500,7,2341,9,2,7.82404601085629
"141",11,11,1,1,137.53461933,54,"F","Parda ",2,6,1,1,1300,4,9111,11,9,7.17011954344963
"142",11,11,1,1,137.53461933,30,"M","Preta",7,16,1,1,1400,1,5223,4,5,7.24422751560335
"144",11,11,1,1,117.14663241,65,"F","Parda ",7,16,1,1,2200,7,2341,9,2,7.69621263934641
"147",11,11,1,1,236.39103913,20,"F","Parda ",5,12,1,1,2250,1,4110,4,4,7.71868549519847
"150",11,11,1,1,201.33379683,17,"F","Parda ",2,8,1,1,600,2,9412,4,9,6.39692965521615
"154",11,11,1,1,251.44219207,46,"F","Parda ",5,12,1,1,1200,1,5153,9,5,7.09007683577609
"157",11,11,1,1,337.43540159,26,"M","Parda ",5,12,1,1,1200,9,7131,3,7,7.09007683577609
"160",11,11,1,1,245.11521628,31,"F","Branca",7,16,1,1,3350,1,2421,4,2,8.11671562481911
"161",11,11,1,1,245.11521628,36,"M","Branca",6,15,1,1,3350,1,2423,4,2,8.11671562481911
"162",11,11,1,1,213.40919648,50,"F","Parda ",5,12,1,1,1100,1,5223,4,5,7.00306545878646
"165",11,11,1,1,209.86412454,22,"F","Parda ",6,14,1,1,1300,6,3411,8,3,7.17011954344963
"172",11,11,1,1,133.07478767,60,"F","Preta",5,12,1,1,1212,3,9111,11,9,7.10002716662926
"175",11,11,1,1,133.07478767,34,"M","Parda ",2,7,1,1,1212,9,9313,3,9,7.10002716662926
