"","UF","Capital","area","tipoArea","peso","idad","sexo","raca","nvlMaisElevado","anosEst","posTrab","posOcup","rendOcup","grupPosOcup","ocup","classeOcup1","classeOcup2","ln_rendOcup"
"134031",24,24,1,1,183.9492,22,"M","Parda ",2,7,1,1,1212,9,7319,2,7,7.10002716662926
"134032",24,24,1,1,183.9492,37,"M","Parda ",2,6,1,1,1212,4,5322,11,5,7.10002716662926
"134034",24,24,1,1,163.7968,77,"F","Branca",3,9,1,1,600,9,5243,2,5,6.39692965521615
"134035",24,24,1,1,163.7968,46,"F","Branca",5,12,1,1,1212,1,5230,4,5,7.10002716662926
"134037",24,24,1,1,120.5252,51,"F","Parda ",5,12,1,1,1212,1,9112,7,9,7.10002716662926
"134038",24,24,1,1,120.5252,47,"F","Branca",5,12,1,1,1212,1,9112,7,9,7.10002716662926
"134039",24,24,1,1,152.5795,62,"M","Branca",2,5,1,1,1000,9,7522,2,7,6.90775527898214
"134042",24,24,1,1,156.3948,55,"F","Parda ",5,12,1,1,1212,1,5246,6,5,7.10002716662926
"134049",24,24,1,1,210.058,31,"F","Branca",5,12,1,1,1500,8,3332,10,3,7.3132203870903
"134065",24,24,1,1,255.5641,48,"F","Branca",2,6,1,1,1800,2,5120,6,5,7.49554194388426
"134066",24,24,1,1,538.5133,20,"M","Parda ",3,9,1,1,1200,9,7512,6,7,7.09007683577609
"134068",24,24,1,1,480.0897,29,"M","Branca",5,12,1,1,1400,1,9611,7,9,7.24422751560335
"134072",24,24,1,1,309.6386,60,"M","Parda ",2,6,1,1,480,2,7233,2,7,6.17378610390194
"134074",24,24,1,1,445.7635,28,"M","Parda ",2,7,1,1,500,9,5221,4,5,6.21460809842219
"134083",24,24,1,1,57.9431,57,"M","Parda ",3,9,1,1,200,9,5221,4,5,5.29831736654804
"134085",24,24,1,1,81.23863,34,"M","Branca",5,12,1,1,1212,1,4226,4,4,7.10002716662926
"134090",24,24,1,1,68.15543,57,"F","Branca",2,5,1,1,1212,1,9112,6,9,7.10002716662926
"134092",24,24,1,1,68.15543,26,"M","Branca",5,12,1,1,2000,1,3221,9,3,7.60090245954208
"134094",24,24,1,1,68.80639,61,"M","Parda ",2,8,1,1,1212,9,5221,4,5,7.10002716662926
"134097",24,24,1,1,86.30777,19,"M","Branca",5,12,1,1,500,2,5131,4,5,6.21460809842219
"134107",24,24,1,1,70.16165,42,"M","Branca",5,12,1,1,1400,9,8322,5,8,7.24422751560335
"134109",24,24,1,1,99.27568,28,"M","Branca",5,12,1,1,1212,1,8332,10,8,7.10002716662926
"134110",24,24,1,1,99.27568,26,"F","Parda ",5,12,1,1,1212,1,5223,4,5,7.10002716662926
"134113",24,24,1,1,78.98374,47,"M","Parda ",5,12,1,1,1400,1,4110,4,4,7.24422751560335
"134115",24,24,1,1,165.5192,20,"F","Parda ",5,12,1,1,569,1,1219,2,1,6.34388043412633
"134116",24,24,1,1,136.0383,49,"F","Parda ",2,1,1,1,1212,3,9111,11,9,7.10002716662926
"134117",24,24,1,1,136.0383,59,"M","Parda ",1,0,1,1,2400,8,7112,3,7,7.78322401633604
"134121",24,24,1,1,182.5224,46,"M","Branca",7,16,1,1,15000,7,2310,9,2,9.61580548008435
"134122",24,24,1,1,182.5224,43,"F","Branca",7,16,1,1,2500,1,2341,9,2,7.82404601085629
"134123",24,24,1,1,182.5224,27,"F","Preta",7,16,1,1,3000,1,2265,9,2,8.00636756765025
"134125",24,24,1,1,172.7617,39,"F","Branca",5,12,1,1,600,9,7318,2,7,6.39692965521615
"134128",24,24,1,1,147.1031,51,"M","Parda ",3,9,1,1,1212,9,7112,3,7,7.10002716662926
"134129",24,24,1,1,186.4654,40,"M","Parda ",5,12,1,1,1350,1,8332,5,8,7.20785987143248
"134130",24,24,1,1,186.4654,39,"F","Parda ",5,12,1,1,700,1,9112,6,9,6.5510803350434
"134134",24,24,1,1,246.1997,34,"M","Parda ",2,7,1,1,1000,9,5243,4,5,6.90775527898214
"134136",24,24,1,1,231.5539,24,"F","Branca",5,12,1,1,80,9,5243,4,5,4.38202663467388
"134138",24,24,1,1,241.5958,32,"M","Branca",5,12,1,1,1800,1,3113,3,3,7.49554194388426
"134141",24,24,1,1,817.0192,36,"M","Parda ",4,11,1,1,1300,1,9313,3,9,7.17011954344963
"134142",24,24,1,1,817.0192,29,"F","Parda ",4,11,1,1,300,2,5131,7,5,5.7037824746562
"134144",24,24,1,1,609.4577,48,"F","Parda ",3,9,1,1,300,9,7512,2,7,5.7037824746562
"134146",24,24,1,1,1105.587,26,"M","Branca",2,8,1,1,600,2,7127,3,7,6.39692965521615
"134149",24,24,1,1,748.8737,25,"M","Parda ",5,12,1,1,350,2,9333,4,9,5.85793315448346
"134150",24,24,1,1,748.8737,22,"M","Parda ",2,8,1,1,350,2,9333,4,9,5.85793315448346
"134151",24,24,1,1,714.9226,49,"M","Parda ",2,4,1,1,1000,9,5221,4,5,6.90775527898214
"134152",24,24,1,1,714.9226,31,"F","Parda ",3,9,1,1,1212,4,9111,11,9,7.10002716662926
"134154",24,24,1,1,804.0661,19,"M","Parda ",2,7,1,1,1212,2,7512,4,7,7.10002716662926
"134157",24,24,1,1,548.6106,52,"F","Parda ",4,10,1,1,200,4,9111,11,9,5.29831736654804
"134160",24,24,1,1,896.0118,27,"M","Parda ",2,1,1,1,600,2,9313,3,9,6.39692965521615
"134162",24,24,1,1,847.9408,33,"F","Parda ",5,12,1,1,1212,9,5221,4,5,7.10002716662926
"134163",24,24,1,1,847.9408,30,"M","Branca",2,3,1,1,1212,1,5230,4,5,7.10002716662926
"134169",24,24,1,1,523.2269,38,"F","Branca",5,12,1,1,1212,1,5223,4,5,7.10002716662926
"134173",24,24,1,1,919.3943,26,"M","Parda ",4,10,1,1,1212,9,7112,3,7,7.10002716662926
"134176",24,24,1,1,981.8444,30,"M","Branca",5,12,1,1,1800,1,5245,4,5,7.49554194388426
"134180",24,24,1,1,652.1351,23,"M","Parda ",5,12,1,1,1500,1,9334,4,9,7.3132203870903
"134183",24,24,1,1,221.2223,51,"M","Branca",4,11,1,1,1300,9,7112,3,7,7.17011954344963
"134187",24,24,1,1,253.8172,43,"M","Preta",2,6,1,1,1212,1,9313,3,9,7.10002716662926
"134188",24,24,1,1,253.8172,22,"F","Branca",5,12,1,1,1212,1,4222,7,4,7.10002716662926
"134189",24,24,1,1,253.8172,26,"M","Branca",5,12,1,1,1212,1,4226,7,4,7.10002716662926
"134191",24,24,1,1,269.3,38,"M","Branca",2,4,1,1,150,9,9612,4,9,5.01063529409626
"134193",24,24,1,1,154.2399,49,"F","Parda ",4,10,1,1,1212,1,9412,9,9,7.10002716662926
"134194",24,24,1,1,259.1882,38,"F","Parda ",5,12,1,1,2400,1,5223,4,5,7.78322401633604
"134195",24,24,1,1,259.1882,40,"M","Branca",5,12,1,1,2400,1,5414,7,5,7.78322401633604
"134197",24,24,1,1,193.5873,51,"M","Branca",5,12,1,1,1600,1,5242,4,5,7.37775890822787
"134200",24,24,1,1,210.6354,36,"F","Parda ",3,9,1,1,1212,1,5223,4,5,7.10002716662926
"134201",24,24,1,1,210.6354,53,"M","Parda ",2,6,1,1,1000,2,9412,4,9,6.90775527898214
"134203",24,24,1,1,161.6488,51,"F","Parda ",2,8,1,1,850,9,5120,4,5,6.74523634948436
"134205",24,24,1,1,273.612,29,"F","Preta",5,12,1,1,1000,8,9411,6,9,6.90775527898214
"134206",24,24,1,1,273.612,39,"M","Branca",4,10,1,1,1000,8,9411,6,9,6.90775527898214
"134207",24,24,1,1,166.068,41,"F","Branca",5,12,1,1,1600,1,3221,9,3,7.37775890822787
"134209",24,24,1,1,157.2359,57,"M","Parda ",2,7,1,1,2500,9,7112,3,7,7.82404601085629
"141491",25,25,1,1,298.3513,31,"M","Preta",2,6,1,1,1100,2,9621,4,9,7.00306545878646
"141494",25,25,1,1,165.2054,72,"M","Branca",4,11,1,1,1500,8,5221,4,5,7.3132203870903
"141496",25,25,1,1,175.1686,61,"M","Branca",5,12,1,1,2500,9,5221,4,5,7.82404601085629
"141497",25,25,1,1,175.1686,60,"F","Branca",7,16,1,1,2000,9,5221,4,5,7.60090245954208
"141499",25,25,1,1,213.4432,56,"F","Parda ",1,0,1,1,1100,3,9111,11,9,7.00306545878646
"141500",25,25,1,1,213.4432,36,"M","Parda ",2,6,1,1,1700,9,7123,3,7,7.43838353004431
"141506",25,25,1,1,183.956,53,"M","Parda ",5,12,1,1,3300,8,7111,3,7,8.10167774745457
"141512",25,25,1,1,235.8409,42,"M","Parda ",2,6,1,1,1850,1,7511,4,7,7.52294091807237
"141513",25,25,1,1,185.5902,65,"F","Parda ",4,10,1,1,1100,4,9111,11,9,7.00306545878646
"141515",25,25,1,1,185.5902,19,"M","Parda ",4,11,1,1,650,2,9313,3,9,6.47697236288968
"141520",25,25,1,1,203.7076,33,"F","Parda ",7,16,1,1,1300,6,4110,8,4,7.17011954344963
"141521",25,25,1,1,203.7076,30,"M","Parda ",7,16,1,1,600,9,2166,7,2,6.39692965521615
"141522",25,25,1,1,205.5131,42,"M","Preta",5,12,1,1,3800,2,8342,3,8,8.24275634571448
"141523",25,25,1,1,205.5131,40,"F","Branca",5,12,1,1,2000,3,5322,11,5,7.60090245954208
"141531",25,25,1,1,221.4972,27,"F","Branca",5,12,1,1,1100,1,5312,9,5,7.00306545878646
"141532",25,25,1,1,221.4972,28,"M","Branca",5,12,1,1,1100,1,7322,2,7,7.00306545878646
"141534",25,25,1,1,240.1134,39,"F","Preta",5,12,1,1,600,9,5221,4,5,6.39692965521615
"141543",25,25,1,1,244.3132,36,"F","Preta",5,12,1,1,1500,1,3344,9,3,7.3132203870903
"141544",25,25,1,1,244.3132,39,"M","Branca",2,7,1,1,1100,1,5414,7,5,7.00306545878646
"141546",25,25,1,1,185.4796,55,"M","Branca",4,10,1,1,20,9,3321,7,3,2.99573227355399
"141547",25,25,1,1,185.4796,55,"F","Preta",5,12,1,1,1212,7,3221,9,3,7.10002716662926
"141548",25,25,1,1,185.4796,26,"F","Preta",7,16,1,1,11000,6,2211,9,2,9.30565055178051
"141554",25,25,1,1,175.7183,65,"M","Parda ",2,4,1,1,1212,7,5414,8,5,7.10002716662926
"141556",25,25,1,1,276.5789,33,"M","Branca",7,16,1,1,2000,1,1323,3,1,7.60090245954208
"141557",25,25,1,1,276.5789,33,"F","Branca",7,16,1,1,2000,1,1412,6,1,7.60090245954208
"141560",25,25,1,1,223.538,47,"M","Parda ",1,0,1,1,2000,9,7112,3,7,7.60090245954208
"141566",25,25,1,1,285.4704,25,"F","Branca",6,15,1,1,1500,9,5221,4,5,7.3132203870903
"141567",25,25,1,1,285.4704,26,"M","Preta",5,12,1,1,2000,1,5249,4,5,7.60090245954208
"141568",25,25,1,1,218.9641,50,"M","Branca",3,9,1,1,4000,8,7213,4,7,8.29404964010203
"141569",25,25,1,1,218.9641,47,"F","Parda ",5,12,1,1,1800,9,5221,4,5,7.49554194388426
"141570",25,25,1,1,218.9641,25,"M","Branca",5,12,1,1,2000,9,7512,6,7,7.60090245954208
"141571",25,25,1,1,218.9641,21,"M","Branca",5,12,1,1,1500,9,7512,6,7,7.3132203870903
"141573",25,25,1,1,218.9641,50,"M","Parda ",2,1,1,1,1000,2,7213,4,7,6.90775527898214
"141574",25,25,1,1,189.171,57,"M","Parda ",5,12,1,1,3000,8,5221,4,5,8.00636756765025
"141575",25,25,1,1,189.171,57,"F","Parda ",5,12,1,1,1280,1,1219,4,1,7.15461535691366
"141576",25,25,1,1,189.171,29,"F","Parda ",7,16,1,1,3000,1,2264,9,2,8.00636756765025
"141577",25,25,1,1,189.171,25,"F","Parda ",7,16,1,1,3000,1,2421,4,2,8.00636756765025
"141578",25,25,1,1,305.1459,45,"M","Branca",4,10,1,1,1212,1,8332,4,8,7.10002716662926
"141579",25,25,1,1,305.1459,40,"F","Branca",4,10,1,1,1212,1,4222,10,4,7.10002716662926
"141582",25,25,1,1,240.6452,49,"M","Parda ",1,0,1,1,700,9,6112,7,6,6.5510803350434
"141585",25,25,1,1,203.5067,64,"F","Branca",2,5,1,1,1500,9,5211,4,5,7.3132203870903
"141586",25,25,1,1,203.5067,65,"M","Branca",2,5,1,1,1500,9,5211,4,5,7.3132203870903
"141591",25,25,1,1,293.5802,47,"F","Preta",5,12,1,1,1212,5,9112,8,9,7.10002716662926
"141592",25,25,1,1,293.5802,22,"M","Branca",5,12,1,1,600,2,5131,6,5,6.39692965521615
"141593",25,25,1,1,293.5802,19,"F","Branca",5,12,1,1,500,1,4225,2,4,6.21460809842219
"141595",25,25,1,1,281.4123,59,"F","Parda ",2,3,1,1,1212,4,9111,11,9,7.10002716662926
"141596",25,25,1,1,281.4123,45,"M","Preta",2,3,1,1,1212,2,9129,3,9,7.10002716662926
"141601",25,25,1,1,294.1932,27,"M","Parda ",5,12,1,1,2400,9,8321,5,8,7.78322401633604
"141602",25,25,1,1,294.1932,21,"F","Preta",5,12,1,1,1212,1,9412,6,9,7.10002716662926
"141603",25,25,1,1,304.9253,42,"M","Parda ",3,9,1,1,1800,9,8322,5,8,7.49554194388426
"141609",25,25,1,1,252.0227,53,"F","Branca",1,0,1,1,1000,4,9111,11,9,6.90775527898214
"141610",25,25,1,1,252.0227,56,"M","Parda ",2,6,1,1,1200,9,7411,3,7,7.09007683577609
"141613",25,25,1,1,396.5473,29,"M","Branca",5,12,1,1,2500,1,3117,2,3,7.82404601085629
"141616",25,25,1,1,304.7354,45,"F","Parda ",2,2,1,1,1212,2,9412,6,9,7.10002716662926
"141618",25,25,1,1,304.7354,21,"F","Branca",2,3,1,1,400,2,9412,6,9,5.99146454710798
"141620",25,25,1,1,304.7354,25,"M","Preta",5,12,1,1,700,9,5249,7,5,6.5510803350434
"141628",25,25,1,1,179.8658,58,"M","Preta",2,1,1,1,1212,6,5414,9,5,7.10002716662926
"141629",25,25,1,1,179.8658,56,"F","Parda ",4,12,1,1,1212,6,9112,8,9,7.10002716662926
"141633",25,25,1,1,247.2463,39,"M","Parda ",5,12,1,1,1212,1,5153,7,5,7.10002716662926
"141637",25,25,1,1,205.4854,45,"M","Parda ",5,12,1,1,1212,1,8156,2,8,7.10002716662926
"141646",25,25,1,1,186.177,29,"F","Preta",5,12,1,1,1212,1,5246,6,5,7.10002716662926
"141647",25,25,1,1,186.177,27,"M","Preta",5,12,1,1,1212,9,7125,3,7,7.10002716662926
"141654",25,25,1,1,191.9446,50,"F","Preta",1,0,1,1,600,4,9111,11,9,6.39692965521615
"141657",25,25,1,1,202.1585,25,"M","Parda ",5,12,1,1,1500,1,5223,4,5,7.3132203870903
"141665",25,25,1,1,276.1626,57,"M","Branca",7,16,1,1,2000,1,2330,9,2,7.60090245954208
"141666",25,25,1,1,276.1626,56,"F","Branca",7,16,1,1,2000,7,2330,9,2,7.60090245954208
"141667",25,25,1,1,276.1626,26,"M","Branca",7,16,1,1,1200,8,1412,6,1,7.09007683577609
"141668",25,25,1,1,276.1626,24,"M","Branca",7,16,1,1,1212,7,4110,8,4,7.10002716662926
"141669",25,25,1,1,276.1626,24,"F","Branca",7,16,1,1,1000,2,2211,9,2,6.90775527898214
"141670",25,25,1,1,188.1819,67,"F","Branca",5,12,1,1,1212,7,3221,9,3,7.10002716662926
"141672",25,25,1,1,193.3379,59,"F","Parda ",6,14,1,1,2500,9,5120,6,5,7.82404601085629
"141673",25,25,1,1,193.3379,35,"F","Branca",7,16,1,1,2600,1,2411,7,2,7.86326672400957
"141678",25,25,1,1,255.1219,34,"M","Branca",5,12,1,1,1100,1,3334,7,3,7.00306545878646
"141679",25,25,1,1,282.0518,47,"M","Preta",7,16,1,1,6000,8,1420,4,1,8.69951474821019
"141680",25,25,1,1,282.0518,29,"F","Branca",7,16,1,1,3000,8,5120,6,5,8.00636756765025
"141681",25,25,1,1,230.7286,41,"M","Branca",5,12,1,1,3700,1,3341,5,3,8.21608809863232
"141684",25,25,1,1,265.7291,53,"F","Parda ",5,12,1,1,1300,6,3221,9,3,7.17011954344963
"141687",25,25,1,1,213.3202,68,"F","Parda ",7,16,1,1,4000,7,2351,9,2,8.29404964010203
"141688",25,25,1,1,213.3202,27,"F","Parda ",6,15,1,1,1100,5,4110,8,4,7.00306545878646
"141689",25,25,1,1,321.5732,33,"M","Branca",7,16,1,1,3000,7,1345,9,1,8.00636756765025
"141690",25,25,1,1,321.5732,25,"F","Branca",7,15,1,1,1500,5,4110,8,4,7.3132203870903
"141691",25,25,1,1,321.5732,29,"F","Parda ",7,16,1,1,2000,2,2611,7,2,7.60090245954208
"141692",25,25,1,1,202.9333,43,"F","Branca",7,14,1,1,13000,7,2423,8,2,9.47270463644367
"141694",25,25,1,1,237.3054,34,"M","Branca",2,5,1,1,2000,2,7133,7,7,7.60090245954208
"141701",25,25,1,1,163.0976,58,"M","Parda ",2,4,1,1,1000,9,7231,4,7,6.90775527898214
"141702",25,25,1,1,230.3301,26,"F","Parda ",7,16,1,1,1212,6,2342,9,2,7.10002716662926
"141705",25,25,1,1,223.569,30,"F","Parda ",3,9,1,1,1212,2,5120,6,5,7.10002716662926
"141711",25,25,1,1,231.0951,34,"F","Parda ",2,8,1,1,300,4,9111,11,9,5.7037824746562
"141712",25,25,1,1,231.0951,30,"M","Parda ",2,4,1,1,1212,9,5211,4,5,7.10002716662926
"141718",25,25,1,1,194.9317,43,"M","Parda ",2,5,1,1,800,9,9520,4,9,6.68461172766793
"141723",25,25,1,1,282.524,24,"F","Parda ",5,13,1,1,1212,9,5142,10,5,7.10002716662926
"141724",25,25,1,1,282.524,26,"M","Preta",5,12,1,1,2300,9,5142,10,5,7.74066440191724
"141728",25,25,1,1,213.6143,45,"F","Parda ",3,9,1,1,500,9,5221,4,5,6.21460809842219
"141732",25,25,1,1,240.8165,28,"F","Preta",4,11,1,1,1212,9,5243,4,5,7.10002716662926
"141738",25,25,1,1,197.8919,43,"F","Branca",5,12,1,1,1212,7,4110,8,4,7.10002716662926
"141739",25,25,1,1,197.8919,43,"M","Branca",2,6,1,1,800,2,8321,4,8,6.68461172766793
"141742",25,25,1,1,166.179,56,"M","Parda ",5,12,1,1,3000,7,3257,8,3,8.00636756765025
"141743",25,25,1,1,166.179,19,"M","Parda ",5,12,1,1,800,9,2353,9,2,6.68461172766793
"141746",25,25,1,1,201.2045,40,"M","Preta",5,13,1,1,2000,1,7131,3,7,7.60090245954208
"141747",25,25,1,1,201.2045,22,"F","Branca",5,12,1,1,500,2,5312,9,5,6.21460809842219
"141748",25,25,1,1,201.2045,18,"F","Preta",4,11,1,1,600,2,4311,7,4,6.39692965521615
"141751",25,25,1,1,271.7721,21,"M","Parda ",2,1,1,1,500,2,9122,4,9,6.21460809842219
"141752",25,25,1,1,188.3172,20,"F","Preta",4,11,1,1,600,9,5221,6,5,6.39692965521615
"141753",25,25,1,1,188.3172,46,"M","Parda ",4,11,1,1,1600,2,5131,6,5,7.37775890822787
"141754",25,25,1,1,188.3172,44,"F","Preta",4,11,1,1,1300,1,9112,9,9,7.17011954344963
"141757",25,25,1,1,229.0954,23,"F","Parda ",4,10,1,1,800,2,5223,4,5,6.68461172766793
"141762",25,25,1,1,229.0954,23,"M","Branca",2,8,1,1,1460,1,9313,3,9,7.28619171470238
"141763",25,25,1,1,224.7465,33,"M","Parda ",7,16,1,1,2500,9,2652,10,2,7.82404601085629
"141764",25,25,1,1,224.7465,32,"F","Parda ",6,14,1,1,1700,1,4225,9,4,7.43838353004431
"141769",25,25,1,1,260.0578,26,"M","Parda ",5,12,1,1,1212,2,4110,7,4,7.10002716662926
"141771",25,25,1,1,186.8467,70,"M","Preta",1,0,1,1,2500,1,3123,3,3,7.82404601085629
"141772",25,25,1,1,186.8467,39,"F","Branca",6,14,1,1,1212,6,4110,8,4,7.10002716662926
"141777",25,25,1,1,180.5853,41,"M","Parda ",5,12,1,1,1600,9,8321,5,8,7.37775890822787
"141778",25,25,1,1,180.5853,18,"F","Parda ",5,12,1,1,1212,2,5230,6,5,7.10002716662926
"141783",25,25,1,1,246.9554,21,"F","Parda ",5,12,1,1,1212,2,4225,6,4,7.10002716662926
"141784",25,25,1,1,246.9554,27,"M","Parda ",5,12,1,1,1300,1,9412,6,9,7.17011954344963
"141788",25,25,1,1,187.8597,36,"F","Preta",5,12,1,1,800,9,5142,10,5,6.68461172766793
"141791",25,25,1,1,217.9466,44,"M","Preta",7,16,1,1,3000,1,2421,2,2,8.00636756765025
"141796",25,25,1,1,210.3746,28,"F","Branca",6,15,1,1,3000,1,5223,4,5,8.00636756765025
"141797",25,25,1,1,210.3746,35,"F","Branca",7,16,1,1,10000,1,1345,9,1,9.21034037197618
"141799",25,25,1,1,284.9602,30,"F","Branca",7,16,1,1,4000,9,2642,7,2,8.29404964010203
"141800",25,25,1,1,284.9602,32,"M","Parda ",7,16,1,1,4000,9,2166,7,2,8.29404964010203
"141801",25,25,1,1,264.0007,35,"F","Parda ",6,14,1,1,4000,1,5243,4,5,8.29404964010203
"141805",25,25,1,1,226.3308,41,"M","Parda ",7,16,1,1,7000,1,2511,7,2,8.85366542803745
"141806",25,25,1,1,226.3308,37,"F","Parda ",7,16,1,1,2500,1,2221,9,2,7.82404601085629
"141808",25,25,1,1,232.6865,25,"F","Parda ",7,16,1,1,7200,1,3257,7,3,8.88183630500415
"141809",25,25,1,1,225.8657,21,"F","Branca",6,13,1,1,3000,2,1219,6,1,8.00636756765025
"141810",25,25,1,1,225.8657,45,"F","Branca",1,0,1,1,2000,2,9122,6,9,7.60090245954208
"141823",25,25,1,1,297.2429,38,"F","Branca",7,16,1,1,1200,9,5244,4,5,7.09007683577609
"141827",25,25,1,1,333.8083,23,"F","Branca",6,14,1,1,1200,2,5142,10,5,7.09007683577609
"141828",25,25,1,1,333.8083,26,"M","Parda ",6,13,1,1,3700,1,5411,7,5,8.21608809863232
"141833",25,25,1,1,184.6424,59,"F","Branca",6,14,1,1,1400,7,4110,8,4,7.24422751560335
"141847",25,25,1,1,202.9785,58,"M","Branca",7,16,1,1,2000,6,4110,8,4,7.60090245954208
"141848",25,25,1,1,202.9785,56,"F","Branca",5,13,1,1,500,9,5120,6,5,6.21460809842219
"141849",25,25,1,1,202.9785,27,"F","Branca",7,16,1,1,1654,1,2411,7,2,7.41095187558364
"141850",25,25,1,1,247.561,41,"F","Parda ",5,13,1,1,1300,1,4110,7,4,7.17011954344963
"141851",25,25,1,1,247.561,49,"M","Parda ",7,16,1,1,1800,2,3114,7,3,7.49554194388426
"141856",25,25,1,1,314.157,58,"F","Branca",2,2,1,1,1200,3,5322,11,5,7.09007683577609
"141858",25,25,1,1,285.2496,51,"M","Parda ",4,10,1,1,1000,9,5243,4,5,6.90775527898214
"141859",25,25,1,1,285.2496,48,"F","Branca",2,7,1,1,900,1,5230,4,5,6.80239476332431
"141860",25,25,1,1,285.2496,24,"F","Parda ",5,12,1,1,1000,1,9629,4,9,6.90775527898214
"141865",25,25,1,1,278.761,54,"M","Branca",3,9,1,1,1200,1,5153,9,5,7.09007683577609
"141869",25,25,1,1,296.3994,56,"F","Preta",1,0,1,1,300,4,9111,11,9,5.7037824746562
"141870",25,25,1,1,296.3994,49,"M","Parda ",1,0,1,1,400,2,7231,4,7,5.99146454710798
"141874",25,25,1,1,370.6395,30,"F","Parda ",5,12,1,1,1212,1,5223,4,5,7.10002716662926
"141880",25,25,1,1,324.438,31,"M","Parda ",7,16,1,1,3000,6,2330,9,2,8.00636756765025
"141896",25,25,1,1,145.7209,50,"F","Branca",7,14,1,1,1600,8,1341,9,1,7.37775890822787
"141898",25,25,1,1,145.7209,60,"F","Branca",5,13,1,1,600,2,5311,9,5,6.39692965521615
"141903",25,25,1,1,184.712,36,"M","Branca",5,12,1,1,3000,2,8332,2,8,8.00636756765025
"141905",25,25,1,1,323.8096,29,"M","Parda ",6,14,1,1,1200,1,1221,10,1,7.09007683577609
"141906",25,25,1,1,138.2253,49,"F","Parda ",2,6,1,1,1200,3,9111,11,9,7.09007683577609
"141908",25,25,1,1,309.6846,23,"M","Preta",5,12,1,1,1000,9,5131,6,5,6.90775527898214
"141909",25,25,1,1,206.0317,33,"F","Preta",7,16,1,1,2500,1,2635,10,2,7.82404601085629
"141910",25,25,1,1,23.09105,55,"M","Parda ",2,5,1,1,1212,6,7522,8,7,7.10002716662926
"141911",25,25,1,1,23.09105,56,"F","Parda ",3,9,1,1,1600,9,7512,6,7,7.37775890822787
"141912",25,25,1,1,31.49222,33,"M","Parda ",5,13,1,1,1212,1,3114,10,3,7.10002716662926
"141913",25,25,1,1,31.49222,42,"F","Parda ",5,13,1,1,1212,5,3221,9,3,7.10002716662926
"141914",25,25,1,1,31.49222,40,"F","Parda ",5,13,1,1,1212,1,9412,9,9,7.10002716662926
"141915",25,25,1,1,31.61831,45,"F","Parda ",5,13,1,1,1212,1,4110,4,4,7.10002716662926
"141916",25,25,1,1,31.61831,47,"M","Parda ",5,13,1,1,2000,9,7119,3,7,7.60090245954208
"141919",25,25,1,1,188.6968,38,"M","Parda ",5,12,1,1,2800,1,5153,7,5,7.9373746961633
"141920",25,25,1,1,188.6968,45,"F","Parda ",1,0,1,1,500,9,5141,10,5,6.21460809842219
"141925",25,25,1,1,131.486,62,"M","Preta",5,12,1,1,1500,7,8322,8,8,7.3132203870903
"141929",25,25,1,1,235.0601,30,"M","Parda ",7,16,1,1,2500,1,3522,7,3,7.82404601085629
"141931",25,25,1,1,214.6513,30,"M","Parda ",4,10,1,1,1350,1,5242,4,5,7.20785987143248
"141932",25,25,1,1,214.6513,27,"F","Branca",5,12,1,1,600,4,5311,11,5,6.39692965521615
"141934",25,25,1,1,136.4319,58,"M","Parda ",3,9,1,1,600,9,5221,4,5,6.39692965521615
"141935",25,25,1,1,213.4686,38,"M","Parda ",3,9,1,1,200,9,9333,5,9,5.29831736654804
"141937",25,25,1,1,165.3248,40,"F","Parda ",4,11,1,1,1212,9,7531,2,7,7.10002716662926
"141938",25,25,1,1,165.3248,42,"M","Parda ",5,12,1,1,1212,1,8219,5,8,7.10002716662926
"141945",25,25,1,1,150.6616,44,"M","Branca",7,16,1,1,3400,6,2221,9,2,8.13153071060425
"141951",25,25,1,1,164.455,39,"F","Branca",7,16,1,1,1600,6,2635,9,2,7.37775890822787
"141952",25,25,1,1,164.455,37,"M","Branca",7,15,1,1,2000,1,1219,5,1,7.60090245954208
"141955",25,25,1,1,172.19,21,"F","Branca",5,12,1,1,1500,9,5221,6,5,7.3132203870903
"141960",25,25,1,1,161.7206,41,"M","Branca",7,16,1,1,3500,1,2262,4,2,8.1605182474775
"141961",25,25,1,1,161.7206,29,"F","Branca",7,16,1,1,1212,1,4110,9,4,7.10002716662926
"141962",25,25,1,1,122.278,67,"F","Parda ",5,12,1,1,3800,5,4110,8,4,8.24275634571448
"141964",25,25,1,1,122.278,47,"F","Parda ",5,12,1,1,1200,1,4120,9,4,7.09007683577609
"141966",25,25,1,1,122.7785,69,"M","Parda ",3,9,1,1,800,9,8322,5,8,6.68461172766793
"141968",25,25,1,1,121.1604,66,"M","Parda ",3,9,1,1,600,9,7112,3,7,6.39692965521615
"141971",25,25,1,1,121.1604,54,"M","Parda ",5,12,1,1,1200,1,9623,2,9,7.09007683577609
"141973",25,25,1,1,121.1604,49,"M","Branca",3,9,1,1,1400,1,8322,10,8,7.24422751560335
"141974",25,25,1,1,121.1604,45,"M","Parda ",5,12,1,1,2000,9,8322,5,8,7.60090245954208
"141976",25,25,1,1,122.7617,48,"F","Parda ",5,12,1,1,1200,1,9112,7,9,7.09007683577609
"141980",25,25,1,1,118.1198,45,"M","Parda ",1,0,1,1,1200,2,5131,6,5,7.09007683577609
"141983",25,25,1,1,118.1198,59,"F","Parda ",5,12,1,1,3600,7,3141,9,3,8.1886891244442
