"","Escola","ID_ESCOLA","id_municipio","rede","n_alunos","IEE","anos_escolares","ideb","MEDIA_MT_SAEB_2019","MEDIA_LP_SAEB_2019","MEDIA_CN_SAEB_2019","MEDIA_CH_SAEB_2019","NSE10","p_SE","p_brancos","me_educMae","Latitude","Longitude"
"100","AROLDO DE AZEVEDO PROF",35001752,3550308,"estadual",207,0.83,"finais (6-9)",4.7,253.75,257.13,NA,NA,5.31,0.07,0.32,9.74,-23.605812,-46.5101628
"101","SECUNDINO DOMINGUES FILHO DOUTOR",35001776,3550308,"estadual",69,0.67,"finais (6-9)",5.3,269.79,273.5,NA,NA,6.01,0.09,0.39,10.82,-23.5888876,-46.5596935
"102","OLGA BENATTI PROFESSORA",35001788,3550308,"estadual",73,0.92,"finais (6-9)",5.8,272.47,277.73,NA,NA,5.73,0.1,0.47,11.63,-23.5925525,-46.579874
"103","BRISABELLA ALMEIDA NOBRE PROFESSORA",35001797,3550308,"estadual",81,0.75,"finais (6-9)",6,278.24,280.42,NA,NA,5.79,0.16,0.46,11,-23.6060737,-46.5609305
"104","JOSE HEITOR CARUSI PROFESSOR",35001824,3550308,"estadual",39,0.75,"finais (6-9)",6,274,288.4,263.91,NA,6.34,0.18,0.38,11.1,-23.575643,-46.5884799
"105","FRANCISCO BORGES VIEIRA DOUTOR",35001843,3550308,"estadual",71,1,"finais (6-9)",4.6,247.82,244.84,NA,NA,5.68,0.07,0.35,11.23,-23.5971746,-46.5584238
"106","LUIZA MENDES CORREA SOUZA PROFESSORA",35001867,3550308,"estadual",79,0.83,"finais (6-9)",4.9,256.23,257.09,NA,NA,6.14,0.1,0.44,11.67,-23.5920586,-46.5420881
"107","JOSE CHEDIAK",35001880,3550308,"estadual",147,0.75,"finais (6-9)",5.5,269.1,268.28,NA,NA,6.16,0.07,0.45,10.65,-23.5926539,-46.5472282
"108","REPUBLICA DO PARAGUAY",35001892,3550308,"estadual",64,1,"finais (6-9)",5.9,278.5,273.11,NA,NA,5.46,0.05,0.27,9.93,-23.5813164,-46.5838296
"109","CAROLINA AUGUSTA DA COSTA GALVAO PROFESSORA",35001909,3550308,"estadual",59,0.83,"finais (6-9)",4.4,248.42,249.89,NA,NA,4.66,0.05,0.34,9.91,-23.5850759,-46.5882702
"110","CLEMENTE QUAGLIO PROFESSOR",35001910,3550308,"estadual",35,0.75,"finais (6-9)",4.9,254.29,242.75,NA,NA,6.43,0.09,0.34,11.67,-23.5729927,-46.5796289
"111","JOAQUIM BRAGA DE PAULA PROFESSOR",35001934,3550308,"estadual",108,0.92,"finais (6-9)",4.5,252.33,260.12,NA,NA,5.64,0.01,0.3,10.42,-23.601844,-46.5321396
"112","JULIA MACEDO PANTOJA PROFESSORA",35001958,3550308,"estadual",121,0.67,"finais (6-9)",5.3,263.82,264.2,NA,NA,6.36,0.1,0.38,10.42,-23.5798668,-46.576125
"113","NORBERTO MAYER FILHO DEPUTADO",35001961,3550308,"estadual",66,0.75,"finais (6-9)",5.5,268.59,263.48,NA,NA,5.41,0.12,0.38,9.46,-23.5738803,-46.5162174
"114","MOACYR CAMPOS PROFESSOR",35001971,3550308,"estadual",211,0.75,"finais (6-9)",5.5,268.33,270.73,266.23,250.07,5.97,0.07,0.34,10.29,-23.5707401,-46.507438
"115","AMELIA DE ARAUJO DONA",35002057,3550308,"estadual",113,0.92,"finais (6-9)",5.5,276.84,271.1,NA,NA,6.38,0.13,0.51,10.32,-23.5604229,-46.531231
"116","ARACY LEME DA VEIGA RAVACHE PROFESSORA",35002069,3550308,"estadual",74,0.75,"finais (6-9)",4.4,270.53,256.79,NA,NA,5.7,0.07,0.35,10.44,-23.5804513,-46.5076536
"117","CONGONHAS DO CAMPO VISCONDE DE",35002112,3550308,"estadual",227,0.75,"finais (6-9)",5.7,275.51,272.83,NA,NA,5.8,0.12,0.29,10.52,-23.5436922,-46.5745005
"118","CARAMURU",35002136,3550308,"estadual",58,0.75,"finais (6-9)",5.2,267.36,260.95,NA,NA,5.97,0.1,0.41,10.29,-23.5639814,-46.5179941
"119","PAULO NOVAES DE CARVALHO PROFESSOR",35002148,3550308,"estadual",79,0.75,"finais (6-9)",5.2,262.43,263.25,NA,NA,6.12,0.06,0.43,10.26,-23.541216,-46.5591103
"120","PEDRO ARBUES CORONEL",35002159,3550308,"estadual",NA,NA,"finais (6-9)",NA,NA,NA,NA,NA,5.88,NA,NA,NA,-23.5459756,-46.5401533
"121","SALVADOR ROCCO PROFESSOR",35002161,3550308,"estadual",104,0.92,"finais (6-9)",5.3,265.12,271.51,NA,NA,5.85,0.12,0.48,10.55,-23.5482981,-46.5451842
