"","Escola","ID_ESCOLA","id_municipio","rede","n_alunos","IEE","anos_escolares","ideb","MEDIA_MT_SAEB_2019","MEDIA_LP_SAEB_2019","MEDIA_CN_SAEB_2019","MEDIA_CH_SAEB_2019","NSE10","p_SE","p_brancos","me_educMae","Latitude","Longitude"
"303","FRANCISCO ROSWELL FREIRE",35036262,3550308,"estadual",98,0.75,"finais (6-9)",5.8,277.01,284.81,NA,NA,5.2,0.13,0.34,9.67,-23.7394961,-46.6959973
"304","EULALIA SILVA PROFESSORA",35036274,3550308,"estadual",79,0.75,"finais (6-9)",4.7,248,263.16,NA,NA,5.29,0.03,0.24,10,-23.6797066,-46.7549791
"305","LAURO PEREIRA TRAVASSOS PROFESSOR DOUTOR",35036286,3550308,"estadual",125,0.75,"finais (6-9)",4.4,253.11,254.63,NA,NA,5.18,0.08,0.3,9.45,-23.6885848,-46.6522112
"306","JOAO SUSSUMU HIRATA DEPUTADO",35036298,3550308,"estadual",109,0.83,"finais (6-9)",5.3,263.49,259.35,NA,NA,5.24,0.06,0.31,10,-23.67066198,-46.76469689
"307","GENESIO DE ALMEIDA MOURA DOUTOR",35036444,3550308,"estadual",111,0.67,"finais (6-9)",4.6,242.04,251.44,NA,NA,4.71,0.06,0.32,7.81,-23.44686,-46.69603
"308","MIGUEL OLIVA FEITOSA PROFESSOR",35036456,3550308,"estadual",90,0.92,"finais (6-9)",4.2,227.46,235.99,NA,NA,5.52,0.06,0.31,10.5,-23.4088571,-46.7417033
"309","HONORIO MONTEIRO DOUTOR",35036705,3550308,"estadual",126,0.83,"finais (6-9)",4.8,245.15,253.41,NA,NA,4.54,0.06,0.28,6.45,-23.73592502,-46.78951049
"310","FRANCISCO DE PAULA VICENTE DE AZEVEDO",35036717,3550308,"estadual",94,0.67,"finais (6-9)",5.3,265.4,268.82,NA,NA,4.88,0.09,0.22,9.8,-23.7009473,-46.7757195
"311","CARLOS DE MORAES ANDRADE PROF",35036729,3550308,"estadual",122,0.83,"finais (6-9)",5,259.1,267.1,NA,NA,5.24,0.07,0.27,10.06,-23.750673,-46.6891614
"312","CARLOS AYRES PROF",35036730,3550308,"estadual",182,0.75,"finais (6-9)",4.9,260.27,265.41,NA,NA,5.52,0.04,0.39,10.11,-23.7359956,-46.6940246
"313","GIULIO DAVID LEONE PROF",35036742,3550308,"estadual",130,0.75,"finais (6-9)",5.2,276.18,278.29,NA,NA,5.39,0.08,0.31,10.03,-23.7337966,-46.7020458
"314","MIGUEL KRUSE DOM",35036754,3550308,"estadual",149,0.83,"finais (6-9)",5.2,257.06,259.21,NA,NA,5.42,0.06,0.32,10.45,-23.5026927,-46.50657
"315","FRANCISCO MESQUITA JORNALISTA",35036766,3550308,"estadual",79,0.75,"finais (6-9)",4.4,247.82,249.49,NA,NA,5.12,0.1,0.28,9.47,-23.4889485,-46.492527
"316","PEDRO VIRIATO PARIGOT DE SOUZA ENGENHEIRO",35036785,3550308,"estadual",126,0.83,"finais (6-9)",5.2,256.61,255.8,NA,NA,5.51,0.06,0.3,11.51,-23.50871976,-46.42331951
"317","PAULO SARASATE GOVERNADOR",35036812,3550308,"estadual",85,0.75,"finais (6-9)",4.2,240.51,246.38,NA,NA,5.32,0.01,0.11,10.2,-23.56652037,-46.40724839
"318","GUILHERME DE ALMEIDA",35036821,3550308,"estadual",38,0.75,"finais (6-9)",4.3,250.84,248.58,NA,NA,5.51,0.13,0.32,11.37,-23.469409,-46.6491691
"319","MANUEL BANDEIRA",35036959,3550308,"estadual",173,0.83,"finais (6-9)",5,249.82,257.83,NA,NA,5.31,0.1,0.34,9.15,-23.4111119,-46.7567442
"320","MOZART TAVARES DE LIMA PROFESSOR",35036961,3550308,"estadual",151,0.83,"finais (6-9)",5.1,254.04,264.18,NA,NA,5.1,0.07,0.28,7.97,-23.6173953,-46.4574034
"321","BRANCA CASTRO CANTO E MELO PROFESSORA",35036973,3550308,"estadual",61,0.75,"finais (6-9)",5.4,263.11,271.59,NA,NA,5.85,0.07,0.38,10.52,-23.6010617,-46.5434983
"322","ANNE FRANK",35037000,3550308,"estadual",78,0.75,"finais (6-9)",5.6,269.29,272.85,NA,NA,4.93,0.06,0.26,9.37,-23.4979808,-46.5283095
"323","GERALDO CAMPOS MOREIRA PROFESSOR DOUTOR",35037011,3550308,"estadual",75,0.83,"finais (6-9)",5,266.19,263.15,NA,NA,5.39,0.09,0.31,9.58,-23.4974187,-46.4977728
"324","HECKEL TAVARES",35037023,3550308,"estadual",143,0.67,"finais (6-9)",5,248.17,255.25,NA,NA,5.23,0.08,0.28,10.41,-23.4748273,-46.4247811
"325","ASTROGILDO ARRUDA PROF",35037035,3550308,"estadual",NA,NA,"finais (6-9)",NA,NA,NA,NA,NA,5.46,NA,NA,NA,-23.5057853,-46.4457185
"326","ROCCA DORDALL",35037060,3550308,"estadual",74,0.58,"finais (6-9)",4.3,240.51,251.81,NA,NA,4.94,0.05,0.27,8.11,-23.5534,-46.41734
"327","JOAQUIM EUGENIO LIMA NETO",35037072,3550308,"estadual",91,0.75,"finais (6-9)",4.6,251.39,263.25,NA,NA,5.12,0.04,0.24,10.05,-23.5438932,-46.4021461
"328","ERNESTINA DEL BUONO TRAMA PROFESSORA",35037084,3550308,"estadual",74,0.83,"finais (6-9)",4.7,257.47,257.39,NA,NA,5.39,0.11,0.24,8.44,-23.5531223,-46.3989794
"329","COSME DE FARIA MAJOR",35037096,3550308,"estadual",206,0.75,"finais (6-9)",4.5,246.34,250.31,NA,NA,5.24,0.07,0.22,8.64,-23.5385885,-46.419072
"330","MARTIN EGIDIO DAMY",35037102,3550308,"estadual",NA,NA,"finais (6-9)",NA,NA,NA,NA,NA,5.44,NA,NA,NA,-23.4700805,-46.6863137
"331","TIDE SETUBAL",35037345,3550308,"estadual",NA,0.83,"finais (6-9)",NA,NA,NA,NA,NA,5.57,NA,NA,NA,-23.50107,-46.4484715
"332","HENRIQUE SMITH BAYMA DR",35037357,3550308,"estadual",108,0.83,"finais (6-9)",4.6,254.14,247.46,NA,NA,4.88,0.06,0.23,9.24,-23.4867999,-46.4100419
"333","FRANCISCO DA COSTA GUEDES",35037370,3550308,"estadual",111,0.67,"finais (6-9)",5.1,260.15,265.2,NA,NA,5.69,0.06,0.4,10.32,-23.501066,-46.5731874
"334","ELZA SARAIVA MONTEIRO PROFA",35037382,3550308,"estadual",137,0.92,"finais (6-9)",4.9,250.52,257.14,NA,NA,5.04,0.04,0.23,9.68,-23.4579231,-46.6599926
"335","FRANCISCO JOAO DE AZEVEDO PADRE",35037394,3550308,"estadual",112,0.67,"finais (6-9)",6.3,288.06,298.04,NA,NA,6.04,0.15,0.41,10.51,-23.71561519,-46.70898381
"336","OSWALD DE ANDRADE",35037400,3550308,"estadual",97,0.75,"finais (6-9)",5.4,270.61,271.35,NA,NA,5.4,0.05,0.28,8.91,-23.6926869,-46.7597963
"337","LOURIVAL GOMES MACHADO PROFESSOR",35037424,3550308,"estadual",70,0.83,"finais (6-9)",4.7,248.97,252.41,NA,NA,5.62,0.09,0.3,8.44,-23.5934,-46.8028117
"338","ALMEIDA JUNIOR PROFESSOR",35037436,3550308,"estadual",148,0.92,"finais (6-9)",4.3,234.93,228.31,NA,NA,5.26,0.03,0.22,10.29,-23.58195739,-46.74995924
"339","LAERTE RAMOS DE CARVALHO PROF DR",35037448,3550308,"estadual",148,0.67,"finais (6-9)",5.7,272.98,272.58,NA,NA,6.04,0.06,0.41,10.24,-23.71239173,-46.69496671
"340","LUIZ SIMIONI SOBRINHO PROFESSOR",35037459,3550308,"estadual",144,0.83,"finais (6-9)",4.9,262.07,262.57,NA,NA,5.61,0.09,0.28,9.67,-23.6551427,-46.6760165
"341","MESSIAS FREIRE PROFESSOR",35037461,3550308,"estadual",106,0.75,"finais (6-9)",4.9,253.41,256.11,NA,NA,4.59,0.05,0.28,8.2,-23.6432578,-46.7761261
"342","SAMUEL MORSE PROFESSOR",35037473,3550308,"estadual",140,0.75,"finais (6-9)",4.6,239.56,251.66,NA,NA,4.8,0.04,0.27,8,-23.7320023,-46.79265463
"343","ALVARO DE SOUZA LIMA DOUTOR",35037618,3550308,"estadual",NA,0.83,"finais (6-9)",NA,NA,NA,NA,NA,4.83,NA,NA,NA,-23.653378,-46.6091333
"344","CAFE FILHO PRESIDENTE",35037624,3550308,"estadual",236,0.83,"finais (6-9)",4.8,251.89,260.21,NA,NA,5.25,0.05,0.25,9.67,-23.6560175,-46.7709039
"345","ANTONIO CARLOS FERREIRA NOBRE PROFESSOR",35037643,3550308,"estadual",113,0.67,"finais (6-9)",5.5,268.33,266.82,NA,NA,5.82,0.1,0.34,10.57,-23.503255,-46.7390305
"346","UBALDO COSTA LEITE DOUTOR",35037655,3550308,"estadual",NA,0.83,"finais (6-9)",NA,NA,NA,NA,NA,5.33,NA,NA,NA,-23.4601782,-46.6872972
"347","EDGARD PIMENTEL REZENDE PROFESSOR",35037679,3550308,"estadual",NA,0.92,"finais (6-9)",NA,NA,NA,NA,NA,5.59,NA,NA,NA,-23.4763859,-46.6931543
"348","ANA SIQUEIRA DA SILVA",35037692,3550308,"estadual",36,0.83,"finais (6-9)",5.6,263.4,270.78,NA,NA,5.62,0.19,0.42,8.11,-23.44961557,-46.7441018
"349","CARLOS FREDERICO WERNECK LACERDA JORNALISTA",35037709,3550308,"estadual",67,0.83,"finais (6-9)",3.6,216.25,214.97,NA,NA,5.12,0.04,0.25,9.12,-23.4733919,-46.7153793
"350","MILTON DA SILVA RODRIGUES PROFESSOR",35037710,3550308,"estadual",NA,NA,"finais (6-9)",NA,NA,NA,NA,NA,6.27,NA,NA,NA,-23.4914726,-46.7049476
"351","VERIDIANA CAMACHO CARVALHO GOMES PROFA",35037783,3550308,"estadual",83,0.92,"finais (6-9)",4.7,251.59,253.84,NA,NA,4.88,0.05,0.28,9.47,-23.4795973,-46.5734091
"352","JUSTINO CARDOSO DR",35037795,3550308,"estadual",172,0.83,"finais (6-9)",5,252.67,258.78,NA,NA,5.67,0.03,0.38,10.63,-23.4875611,-46.5859307
"353","ITALO BETARELLO",35038097,3550308,"estadual",183,0.83,"finais (6-9)",5.3,259.92,259.12,NA,NA,5.72,0.08,0.32,10.9,-23.4503372,-46.736214
"354","MARIA AUGUSTA SARAIVA DOUTORA",35038124,3550308,"estadual",83,0.75,"finais (6-9)",5.7,273.78,279.29,NA,NA,4.74,0.04,0.33,8.9,-23.5527253,-46.643521
"355","AUGUSTO DO AMARAL DEPUTADO",35038131,3550308,"estadual",110,0.67,"finais (6-9)",6.2,290.11,290.51,NA,NA,5.38,0.17,0.45,10.27,-23.55095,-46.74661
"356","CAETANO DE CAMPOS",35038143,3550308,"estadual",106,0.83,"finais (6-9)",4.5,250.03,252.8,NA,NA,5.33,0.06,0.36,8.67,-23.5651803,-46.6309484
"357","JOSE MARIA WHITAKER DOUTOR",35038167,3550308,"estadual",NA,NA,"finais (6-9)",NA,NA,NA,NA,NA,5.99,NA,NA,NA,-23.6404025,-46.5965662
"358","CARLOS PASQUALE PROFESSOR",35038179,3550308,"estadual",69,0.92,"finais (6-9)",4.7,251.04,257.95,NA,NA,5.05,0.03,0.22,10.34,-23.628252,-46.6167193
"359","SALVADOR MOYA",35038210,3550308,"estadual",NA,0.83,"finais (6-9)",NA,NA,NA,NA,NA,5.48,NA,NA,NA,-23.6492691,-46.6355722
"360","VICENTE RAO PROFESSOR",35038234,3550308,"estadual",NA,0.75,"finais (6-9)",NA,NA,NA,NA,NA,5.05,NA,NA,NA,-23.6757728,-46.6511493
"361","FRANCISCO DE PAULA CONCEICAO JUNIOR PROFESSOR",35038258,3550308,"estadual",159,0.83,"finais (6-9)",4.8,246.32,256.1,NA,NA,5.36,0.03,0.24,8.78,-23.6487099,-46.7836025
"362","ADRIAO BERNARDES PROF",35038261,3550308,"estadual",52,0.75,"finais (6-9)",5,254.74,249.73,NA,NA,4.94,0.02,0.35,8.63,-23.77352838,-46.64590558
"363","CALLIA MAESTRO",35038271,3550308,"estadual",91,0.83,"finais (6-9)",5,267.98,268.66,248.25,261.22,5.48,0.08,0.26,11.24,-23.70938389,-46.68608323
"364","JOAQUIM ALVARES CRUZ PROF",35038283,3550308,"estadual",NA,0.92,"finais (6-9)",NA,NA,NA,NA,NA,4.76,NA,NA,NA,-23.87832948,-46.65074423
"365","JOSE LINS DO REGO",35038295,3550308,"estadual",NA,NA,"finais (6-9)",NA,NA,NA,NA,NA,5.58,NA,NA,NA,-23.6760324,-46.755481
"366","MARIA LUIZA DE ANDRADE MARTINS ROQUE PROFA",35038301,3550308,"estadual",133,0.75,"finais (6-9)",4.6,249.35,260.71,NA,NA,5.24,0.07,0.27,8.52,-23.7529482,-46.66842
"367","VERA ATHAYDE PEREIRA PROFA",35038313,3550308,"estadual",33,0.75,"finais (6-9)",4.8,240.89,251.21,NA,NA,5.1,0,0.3,11.6,-23.737835,-46.7120727
"368","CHARLES DE GAULLE",35039123,3550308,"estadual",186,1,"finais (6-9)",4.6,246.31,248.82,NA,NA,5.59,0.04,0.24,10.93,-23.5097359,-46.3984524
"369","MARTHA FIGUEIRA NETTO DA SILVA PROFESSORA",35039147,3550308,"estadual",97,0.67,"finais (6-9)",4.6,239.07,252.96,NA,NA,5.28,0.05,0.28,9.26,-23.6308024,-46.6260467
"370","ROBERTO MANGE",35039159,3550308,"estadual",NA,0.67,"finais (6-9)",NA,NA,NA,NA,NA,5.38,NA,NA,NA,-23.7708243,-46.6943978
"371","ANA LUIZA FLORENCE BORGES PROFA",35039172,3550308,"estadual",78,0.75,"finais (6-9)",4.8,252.29,255.23,NA,NA,5.15,0.12,0.22,9.48,-23.84836999,-46.71488034
"372","QUINTILIANO JOSE SITRANGULO PROF",35039248,3550308,"estadual",144,0.75,"finais (6-9)",4.7,248.11,252.34,NA,NA,5.48,0.08,0.29,10.88,-23.557306,-46.4617188
"373","CARLOS HENRIQUE LIBERALLI PROFESSOR",35039251,3550308,"estadual",110,0.67,"finais (6-9)",4.8,253.44,256.89,NA,NA,5.16,0.09,0.27,7.33,-23.6252643,-46.44742247
"374","CHIBATA MIYAKOSHI",35039263,3550308,"estadual",59,0.75,"finais (6-9)",4.2,236.7,240.34,NA,NA,4.96,0.1,0.27,8.8,-23.5949648,-46.4787864
"375","AYRES NETO DOUTOR",35039287,3550308,"estadual",252,0.75,"finais (6-9)",4.7,248.86,253.4,NA,NA,5.43,0.04,0.25,8.53,-23.7010014,-46.6442302
"376","IBRAHIM NOBRE",35039299,3550308,"estadual",NA,NA,"finais (6-9)",NA,NA,NA,NA,NA,6,NA,NA,NA,-23.6668682,-46.6808911
"377","FRANCISCO BRASILIENSE FUSCO DOUTOR",35039317,3550308,"estadual",157,0.83,"finais (6-9)",4.6,243.8,257.64,NA,NA,5.37,0.03,0.24,9.02,-23.6158423,-46.6813955
"378","JOSE OSCAR ABREU SAMPAIO",35039342,3550308,"estadual",23,0.75,"finais (6-9)",4.8,246.98,249.22,NA,NA,4.84,0.09,0.26,8,-23.4444011,-46.7853183
"379","NELLO LORENZON",35039366,3550308,"estadual",NA,0.83,"finais (6-9)",NA,NA,NA,NA,NA,5.64,NA,NA,NA,-23.511939,-46.4893501
"380","BENEDITO FERREIRA DE ALBUQUERQUE PROF",35039385,3550308,"estadual",66,0.67,"finais (6-9)",3.9,231.65,237.9,NA,NA,4.86,0.02,0.23,8.61,-23.83950214,-46.73410286
"381","REGINA MIRANDA BRANT DE CARVALHO PROFA",35039391,3550308,"estadual",62,0.75,"finais (6-9)",4.4,243.74,242.14,NA,NA,4.73,0.06,0.29,9.26,-23.90823577,-46.70653883
"382","ALFREDO GOMES PROF",35040319,3550308,"estadual",138,0.83,"finais (6-9)",5.6,270.66,273.92,NA,NA,5.21,0.11,0.39,10.18,-23.467663,-46.6574121
"383","ARLINDO PINTO DA SILVA PROF",35040332,3550308,"estadual",58,0.92,"finais (6-9)",4.3,244.53,239.39,NA,NA,5.19,0.03,0.36,8.89,-23.5150314,-46.4386411
"384","LEONOR RENDESI PROFESSORA",35040964,3550308,"estadual",37,0.67,"finais (6-9)",4.5,241.51,251.81,NA,NA,5.33,0,0.3,8.91,-23.4982603,-46.4888718
"385","PEDRO DE ALCANTARA MARCONDES MACHADO PROFESSOR",35040976,3550308,"estadual",NA,0.83,"finais (6-9)",NA,NA,NA,NA,NA,5.64,NA,NA,NA,-23.5029611,-46.4738638
"386","MARIA AUGUSTA CORREA PROFESSORA",35040988,3550308,"estadual",123,0.75,"finais (6-9)",4.5,254.02,264.08,NA,NA,5.34,0.07,0.25,9.85,-23.5048072,-46.5311112
"387","CLOVIS DE OLIVEIRA PROFESSOR DOUTOR",35040997,3550308,"estadual",79,0.92,"finais (6-9)",4.5,246.3,237.28,NA,NA,5.3,0.03,0.27,10.62,-23.6401117,-46.7552357
"388","RONALDO GARIBALDI PERETTI PROFESSOR",35041002,3550308,"estadual",174,0.83,"finais (6-9)",4.9,242.3,252.81,NA,NA,4.77,0.06,0.24,8.91,-23.6654986,-46.7886493
"389","JOITI HIRATA",35041026,3550308,"estadual",NA,0.83,"finais (6-9)",NA,NA,NA,NA,NA,5.35,NA,NA,NA,-23.6869624,-46.7926803
"390","ANTONIO MANOEL ALVES DE LIMA",35041038,3550308,"estadual",133,0.75,"finais (6-9)",4.9,254.92,263.52,NA,NA,5.43,0.05,0.32,9.06,-23.66017689,-46.73712831
"391","MANOEL TABACOW HIDAL PROFESSOR",35041048,3550308,"estadual",105,0.92,"finais (6-9)",5.1,254.72,266.12,NA,NA,5.32,0.12,0.27,10.18,-23.694654,-46.6713228
"392","CAROLINA CINTRA DA SILVEIRA PROFESSORA",35041051,3550308,"estadual",104,0.67,"finais (6-9)",4.7,253.96,259.83,NA,NA,5.23,0.04,0.33,9.36,-23.6624598,-46.7668443
"393","LUIS MAGALHAES DE ARAUJO PROFESSOR",35041063,3550308,"estadual",NA,NA,"finais (6-9)",NA,NA,NA,NA,NA,5.57,NA,NA,NA,-23.6801595,-46.7643296
"394","SANTO DIAS DA SILVA",35041609,3550308,"estadual",146,0.83,"finais (6-9)",4.6,264.97,265.82,NA,NA,5.43,0.05,0.23,9.77,-23.72137526,-46.68103333
"395","GUILHERME GIORGI COMENDADOR",35041695,3550308,"estadual",147,0.75,"finais (6-9)",5.1,258.53,257.9,NA,NA,5.4,0.06,0.34,8.98,-23.5861081,-46.5094697
"396","JOSE DE OLIVEIRA ORLANDI",35041713,3550308,"estadual",100,0.83,"finais (6-9)",5.2,258.75,264.11,NA,NA,5.37,0.06,0.35,9.96,-23.5746952,-46.4570003
"397","MARIA FERRAZ DE CAMPOS PROFA",35041725,3550308,"estadual",109,0.92,"finais (6-9)",4.4,231.45,236.47,NA,NA,5.33,0.05,0.22,9.15,-23.5555659,-46.4541044
"398","FLAVIO JOSE OSORIO NEGRINI PROFESSOR",35041737,3550308,"estadual",NA,0.75,"finais (6-9)",NA,NA,NA,NA,NA,5.21,NA,NA,NA,-23.6291357,-46.7520634
"399","DUGLAS TEIXEIRA MONTEIRO PROFESSOR",35041750,3550308,"estadual",81,0.75,"finais (6-9)",4.6,248.29,251.76,NA,NA,5.46,0.06,0.32,9.21,-23.6408724,-46.7617932
"400","MARIA JUVENAL HOMEM DE MELLO PROFA",35041762,3550308,"estadual",66,0.83,"finais (6-9)",4.1,250.15,254.21,NA,NA,5.33,0.03,0.29,8.79,-23.7403464,-46.68189204
"401","EMILIO WARWICK KERR PASTOR",35041774,3550308,"estadual",143,0.92,"finais (6-9)",5.2,268.79,275.92,NA,NA,5.3,0.08,0.26,9.94,-23.75383716,-46.69626595
"402","JOSEPHINA CINTRA DAMIAO PROFESSORA",35041786,3550308,"estadual",98,0.83,"finais (6-9)",4.3,245.22,240.36,NA,NA,4.72,0.04,0.2,7.32,-23.7093028,-46.7920852
"403","ERODICE PONTES DE QUEIROZ REV",35041798,3550308,"estadual",257,0.67,"finais (6-9)",4,232.83,240.2,NA,NA,5.34,0.05,0.22,8.44,-23.784975,-46.7147115
"404","SAMUEL WAINER",35041804,3550308,"estadual",237,0.83,"finais (6-9)",4.5,247.9,255.76,NA,NA,5.47,0.03,0.3,8.64,-23.7546572,-46.683889
"405","MATTATHIAS GOMES DOS SANTOS REV",35043734,3550308,"estadual",73,0.67,"finais (6-9)",4.1,245.1,237.56,NA,NA,5.01,0.05,0.27,9.88,-23.4850024,-46.3921536
"406","FRANCISCO DE ASSIS PIRES CORREA PROFESSOR",35043746,3550308,"estadual",109,0.92,"finais (6-9)",4.5,258.57,257.6,NA,NA,5.82,0.06,0.35,10.94,-23.54947,-46.43384
"407","JULIA DELLA CASA PAULA PROFESSORA",35043771,3550308,"estadual",NA,0.75,"finais (6-9)",NA,NA,NA,NA,NA,4.75,NA,NA,NA,-23.6832842,-46.6617479
"408","JORGE DUPRAT FIGUEIREDO",35043928,3550308,"estadual",135,0.83,"finais (6-9)",5.2,256.02,262.36,NA,NA,5.46,0.07,0.33,10.31,-23.5738449,-46.499243
"409","MARIO LOPES LEAO DR",35043936,3550308,"estadual",170,0.83,"finais (6-9)",5.4,268.11,273.43,NA,NA,5.36,0.05,0.28,9.44,-23.811839,-46.738045
"410","HERCULANO DE FREITAS PROFESSOR",35043953,3550308,"estadual",97,0.75,"finais (6-9)",4.7,250.64,261.75,NA,NA,5,0.04,0.28,7.8,-23.70050081,-46.76441576
"411","ZORAIDE DE CAMPOS HELU PROFESSORA",35044261,3550308,"estadual",32,0.67,"finais (6-9)",4.1,246.25,241.55,NA,NA,4.63,0.12,0.47,7.89,-23.5035124,-46.7113767
"412","OCTACILIO DE CARVALHO LOPES PROF",35044283,3550308,"estadual",NA,NA,"finais (6-9)",NA,NA,NA,NA,NA,5.6,NA,NA,NA,-23.5496423,-46.4864556
"413","ORESTES ROSOLIA PROF",35044295,3550308,"estadual",198,0.92,"finais (6-9)",5.1,255.87,264.98,NA,NA,5.78,0.13,0.31,10.46,-23.5435219,-46.4799191
"414","JOAO PRADO MARGARIDO PROF",35044313,3550308,"estadual",138,0.83,"finais (6-9)",5.4,262.58,268.48,NA,NA,5.42,0.07,0.25,10.83,-23.4913725,-46.3829211
"415","SALIM FARAH MALUF PROFESSOR",35044325,3550308,"estadual",158,0.75,"finais (6-9)",4.8,248.46,254.39,NA,NA,5.63,0.04,0.3,11.36,-23.55500714,-46.43568539
"416","FADLO HAIDAR",35044337,3550308,"estadual",160,0.75,"finais (6-9)",5.6,268.83,272.07,NA,NA,5.66,0.07,0.38,9.95,-23.55363,-46.44423
"417","WILSON ROBERTO SIMONINI PROF",35044349,3550308,"estadual",NA,NA,"finais (6-9)",NA,NA,NA,NA,NA,5.32,NA,NA,NA,-23.5196571,-46.4048979
"418","SAMUEL KLABIN",35044350,3550308,"estadual",60,0.83,"finais (6-9)",5.3,268.52,264.56,NA,NA,5.11,0.05,0.2,9.22,-23.567613,-46.7651594
"419","JOAO ERNESTO FAGGIN DOUTOR",35044374,3550308,"estadual",90,0.83,"finais (6-9)",4.7,243.35,243.87,NA,NA,4.66,0.02,0.17,9.44,-23.6747197,-46.6322319
"420","DAVID NASSER JORNALISTA",35044386,3550308,"estadual",151,0.92,"finais (6-9)",5.1,253.45,261.96,NA,NA,5.14,0.06,0.32,10.22,-23.6547486,-46.787036
"421","ANTONIO BERNARDES DE OLIVEIRA PROFESSOR",35044398,3550308,"estadual",110,0.83,"finais (6-9)",4.8,253.29,259.48,NA,NA,5.43,0.05,0.13,9.33,-23.6884508,-46.7501427
"422","DAVID ZEIGER",35044404,3550308,"estadual",NA,0.83,"finais (6-9)",NA,NA,NA,NA,NA,5.34,NA,NA,NA,-23.67703172,-46.6807574
"423","CARLOS CATTONY",35044436,3550308,"estadual",77,0.58,"finais (6-9)",5.7,279.41,276.68,NA,NA,5.79,0.09,0.39,9.92,-23.7738183,-46.7407214
"424","EURIPEDES SIMOES DE PAULA PROF",35044441,3550308,"estadual",245,0.92,"finais (6-9)",5,261.15,263.71,NA,NA,5.28,0.04,0.25,8.96,-23.7621457,-46.6729937
"425","MARIO ARMINANTE PROF",35044453,3550308,"estadual",186,0.83,"finais (6-9)",4.6,256.39,255.61,NA,NA,5.23,0.04,0.21,8.43,-23.7918696,-46.7319781
"426","ANTONIO PEREIRA LIMA DR",35044465,3550308,"estadual",63,0.67,"finais (6-9)",5,251.94,260.4,NA,NA,5.12,0.06,0.27,8.58,-23.8214988,-46.7507348
"427","ARGEO PINTO DIAS ENG",35046059,3550308,"estadual",223,0.83,"finais (6-9)",5.3,272.48,281.67,NA,NA,5.34,0.09,0.28,8.67,-23.7828818,-46.6904871
"428","ANTONIO AGGIO",35046061,3550308,"estadual",NA,0.75,"finais (6-9)",NA,NA,NA,NA,NA,4.64,NA,NA,NA,-23.68465268,-46.74476146
"429","JOSE BARBOSA DE ALMEIDA PROFESSOR",35046218,3550308,"estadual",NA,0.83,"finais (6-9)",NA,NA,NA,NA,NA,5.08,NA,NA,NA,-23.4701884,-46.7088346
"430","PEDRO MOREIRA MATOS PROF",35046224,3550308,"estadual",NA,0.83,"finais (6-9)",NA,NA,NA,NA,NA,4.58,NA,NA,NA,-23.4906117,-46.44935
"431","FLAMINIO FAVERO PROFESSOR",35046243,3550308,"estadual",112,0.75,"finais (6-9)",4.3,241.91,241.03,NA,NA,4.92,0.05,0.25,9.64,-23.450685,-46.6778653
"432","ANTONIO SYLVIO DA CUNHA BUENO",35046279,3550308,"estadual",193,0.67,"finais (6-9)",5.1,267.48,273.44,NA,NA,5.5,0.09,0.29,10.84,-23.5483545,-46.4811097
"433","FRANCISCO PEREIRA DE SOUZA FILHO PROF",35046292,3550308,"estadual",111,0.92,"finais (6-9)",5.4,265.69,268.99,NA,NA,5.44,0.04,0.3,11.24,-23.4823449,-46.4306454
"434","JULIO DINIS",35046310,3550308,"estadual",NA,0.75,"finais (6-9)",NA,NA,NA,NA,NA,5.3,NA,NA,NA,-23.5320043,-46.4326642
"435","LUIS GONZAGA TRAVASSOS DA ROSA",35046334,3550308,"estadual",NA,0.83,"finais (6-9)",NA,NA,NA,NA,NA,4.77,NA,NA,NA,-23.6400831,-46.7328157
"436","ARNALDO LAURINDO PROFESSOR",35046346,3550308,"estadual",120,0.83,"finais (6-9)",4.8,259.16,250.18,NA,NA,5.18,0.07,0.27,9.67,-23.6635364,-46.7513562
"437","TIAGO ALBERIONE PADRE",35046358,3550308,"estadual",253,0.83,"finais (6-9)",4.6,244.35,250.98,NA,NA,5.16,0.05,0.2,8.98,-23.6900609,-46.6438287
"438","ESTHER GARCIA PROFA EE",35046361,3550308,"estadual",137,0.75,"finais (6-9)",4.4,258.03,263.35,NA,NA,5.04,0.04,0.23,8.46,-23.7478182,-46.69762
"439","MARIA DE LOURDES ALMEIDA SINISGALLI PROFA",35048033,3550308,"estadual",143,0.75,"finais (6-9)",4.3,239.5,239.37,NA,NA,4.88,0.06,0.2,7.3,-23.8110633,-46.714638
"440","PAULO LEIVAS MACALAO PASTOR",35048604,3550308,"estadual",65,0.92,"finais (6-9)",4.3,230.97,241.81,NA,NA,4.45,0.08,0.2,7.31,-23.4573407,-46.664788
"441","JOAO BAPTISTA ALVES SILVA PROF",35048616,3550308,"estadual",223,0.83,"finais (6-9)",4.9,244.91,250.63,NA,NA,5.03,0.08,0.31,9.19,-23.4502836,-46.5851354
"442","ROMEU MONTORO",35048636,3550308,"estadual",NA,0.75,"finais (6-9)",NA,NA,NA,NA,NA,5.26,NA,NA,NA,-23.6172088,-46.506279
"443","PAULO LAURO DR",35048641,3550308,"estadual",137,0.83,"finais (6-9)",4.7,254.35,262.84,NA,NA,5.37,0.07,0.37,9.72,-23.5627673,-46.4870325
